2018-07-25 09:05:27.566 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarting - Starting CommonApplication on HMJ with PID 10484 (F:\workspaces\trunk\wx-app\wx-app-common\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-common)
2018-07-25 09:05:27.574 logback [main] INFO  c.phone.erp.common.CommonApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 09:05:31.914 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarted - Started CommonApplication in 4.83 seconds (JVM running for 5.28)
2018-07-25 10:39:47.305 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarting - Starting CommonApplication on HMJ with PID 11352 (F:\workspaces\trunk\wx-app\wx-app-common\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-common)
2018-07-25 10:39:47.310 logback [main] INFO  c.phone.erp.common.CommonApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 10:39:51.585 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarted - Started CommonApplication in 4.77 seconds (JVM running for 5.168)
2018-07-25 16:18:08.028 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarting - Starting CommonApplication on HMJ with PID 6008 (F:\workspaces\trunk\wx-app\wx-app-common\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-common)
2018-07-25 16:18:08.035 logback [main] INFO  c.phone.erp.common.CommonApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 16:18:12.248 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarted - Started CommonApplication in 4.675 seconds (JVM running for 5.084)
2018-07-25 17:10:55.169 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarting - Starting CommonApplication on HMJ with PID 12408 (F:\workspaces\trunk\wx-app\wx-app-common\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-common)
2018-07-25 17:10:55.174 logback [main] INFO  c.phone.erp.common.CommonApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 17:10:59.334 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarted - Started CommonApplication in 4.623 seconds (JVM running for 5.031)
2018-07-25 18:10:19.861 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarting - Starting CommonApplication on HMJ with PID 12616 (F:\workspaces\trunk\wx-app\wx-app-common\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-common)
2018-07-25 18:10:19.865 logback [main] INFO  c.phone.erp.common.CommonApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-25 18:10:24.104 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarted - Started CommonApplication in 4.707 seconds (JVM running for 5.116)
