2018-07-31 15:25:16.773 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarting - Starting CommonApplication on HMJ with PID 9972 (F:\workspaces\trunk\wx-app\wx-app-common\target\classes started by wxm in F:\workspaces\trunk\wx-app\wx-app-common)
2018-07-31 15:25:16.780 logback [main] INFO  c.phone.erp.common.CommonApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
2018-07-31 15:25:20.974 logback [main] INFO  c.phone.erp.common.CommonApplication.logStarted - Started CommonApplication in 4.672 seconds (JVM running for 5.116)
2018-07-31 15:26:22.482 logback [http-nio-8801-exec-2] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV47Ck4JXV4pPfGBP902Aylv4
2018-07-31 15:26:22.482 logback [http-nio-8801-exec-4] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV47Ck4JXV4pPfGBP902Aylv4
2018-07-31 15:26:22.500 logback [http-nio-8801-exec-4] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: d3e8389d500d9f7dc280990ca6bd48e724947396
2018-07-31 15:26:22.501 logback [http-nio-8801-exec-4] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: d3e8389d500d9f7dc280990ca6bd48e724947396
2018-07-31 15:26:22.502 logback [http-nio-8801-exec-2] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: d3e8389d500d9f7dc280990ca6bd48e724947396
2018-07-31 15:26:22.502 logback [http-nio-8801-exec-2] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: d3e8389d500d9f7dc280990ca6bd48e724947396
2018-07-31 15:26:45.010 logback [http-nio-8801-exec-5] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV47Ck4JXV4pPfGBP902Aylv4
2018-07-31 15:26:45.010 logback [http-nio-8801-exec-5] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: d3e8389d500d9f7dc280990ca6bd48e724947396
2018-07-31 15:26:45.011 logback [http-nio-8801-exec-5] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: d3e8389d500d9f7dc280990ca6bd48e724947396
2018-07-31 15:28:13.399 logback [http-nio-8801-exec-9] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的openid: o_spV47Ck4JXV4pPfGBP902Aylv4
2018-07-31 15:28:13.399 logback [http-nio-8801-exec-9] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信用户的签名: d3e8389d500d9f7dc280990ca6bd48e724947396
2018-07-31 15:28:13.400 logback [http-nio-8801-exec-9] INFO  c.p.erp.base.utils.wechat.WechatUtil.getOpenid - 获取到微信参数的签名: d3e8389d500d9f7dc280990ca6bd48e724947396
